epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4146.14,0.68614,0.52084,0.96672,0.99729,1,0.995,0.85547,0.56229,0.52712,0.8991,0.000226497,0.000226497,0.000226497
87,4189.12,0.70398,0.54099,0.98222,0.99712,1,0.995,0.8594,0.55411,0.52301,0.89573,0.000212349,0.000212349,0.000212349
88,4229.73,0.63993,0.51412,0.94863,0.99731,1,0.995,0.86095,0.54647,0.51943,0.89341,0.000198202,0.000198202,0.000198202
89,4271.14,0.70221,0.52242,0.98132,0.99758,1,0.995,0.86359,0.54217,0.51731,0.89222,0.000184055,0.000184055,0.000184055
90,4313.4,0.64277,0.51571,0.94778,0.99795,1,0.995,0.86584,0.52639,0.50903,0.88625,0.000169908,0.000169908,0.000169908
91,4355.15,0.58331,0.51746,0.91189,0.99799,1,0.995,0.86828,0.52413,0.5049,0.88484,0.000155761,0.000155761,0.000155761
92,4395.65,0.61453,0.51528,0.91838,0.99718,1,0.995,0.86751,0.52431,0.51374,0.8833,0.000141614,0.000141614,0.000141614
93,4435.94,0.59143,0.49503,0.91622,0.99734,1,0.995,0.86857,0.52391,0.52211,0.88308,0.000127467,0.000127467,0.000127467
94,4476.61,0.58824,0.50794,0.91606,0.99796,1,0.995,0.86577,0.5262,0.53313,0.8849,0.00011332,0.00011332,0.00011332
95,4521.77,0.58581,0.50158,0.90299,0.99815,1,0.995,0.86862,0.52384,0.53248,0.88433,9.91726e-05,9.91726e-05,9.91726e-05
96,4566.27,0.58978,0.51217,0.91185,0.99817,1,0.995,0.8706,0.51378,0.51949,0.881,8.50255e-05,8.50255e-05,8.50255e-05
97,4610.47,0.5834,0.50348,0.89769,0.99807,1,0.995,0.87002,0.51046,0.51174,0.88037,7.08784e-05,7.08784e-05,7.08784e-05
98,4653.21,0.58225,0.50794,0.90445,0.99807,1,0.995,0.87261,0.50532,0.4995,0.87859,5.67313e-05,5.67313e-05,5.67313e-05
99,4698.26,0.57117,0.49623,0.89779,0.99804,1,0.995,0.87329,0.50408,0.4958,0.87802,4.25842e-05,4.25842e-05,4.25842e-05
100,4740.71,0.56273,0.50304,0.90177,0.99788,1,0.995,0.87269,0.50274,0.49126,0.87733,2.84371e-05,2.84371e-05,2.84371e-05
